"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:ARSKICKER0","Hey man.","嗨哥们儿。"
"traveler:ARSKICKER0","I lost id card.","我的身份证丢了。"
"traveler:ARSKICKER0","I think someone stole it from locker room.","我想是在更衣室被人偷了。"
"traveler:ARSKICKER0","But we won match!","但我们赢了比赛！"
"traveler:ARSKICKER0","Can't wait to get home.~","等不及要回家了。~"
"traveler:ARSKICKER0","I have carried this for years, maybe you take it.","我把这个带在身边几年了，也许应该给你。"
"traveler:ARSKICKER0","@Your Arstotzkan id card is missing.","@你的阿斯托茨卡公民身份证呢？"
"traveler:ARSKICKER0","I know man. I told you.","我知道，我告诉你了啊。"
"traveler:ARSKICKER0","It was stolen.","被偷啦。"
"traveler:ARSKICKER0","C'mon let me through.","快点，让我通过吧。"
"traveler:ARSKICKER0","Thanks bud, is good to be home!","多谢了哥们儿，回家真好啊！"
"traveler:ARSKICKER0","Hey bullshit!","嘿我操！"
"traveler:ARSKICKER0","I gave you pennant even!","我都把锦旗送给你了！"
"traveler:ARSKICKER0","Gonna tell coach about this crap.","我得把这傻逼事告诉教练。"
"traveler:ARSKICKER1","Hi again.","你好啊。"
"traveler:ARSKICKER1","Remember me?","还记得我吗？"
"traveler:ARSKICKER1","Go Arskickers!","加油！Arskickers!"
"traveler:ARSKICKER1","I give you that great banner.~","我送给过你那面漂亮的锦旗。~"
"traveler:ARSKICKER1","Listen, I tell my coach about this.","听着，我把这事告诉了我教练。"
"traveler:ARSKICKER1","He get very upset.","他非常生气。"
"traveler:ARSKICKER1","Say if I do not get banner back, I lose front seat on team bus.~","他说如果我不拿回锦旗的话，就不让我坐球队大巴的前座了。~"
"traveler:ARSKICKER1","All seats good, but front seat definitely best.","虽说别的位子也不错，但前座绝对是最棒的。"
"traveler:ARSKICKER1","So I really just need banner back.","所以，我真的很需要拿回那面锦旗。"
"traveler:ARSKICKER1","What you say?","你说啥？"
"traveler:ARSKICKER1","Lousy fan!","球迷超多啊！"
"traveler:ARSKICKER1","Ah thanks!","啊，多谢啦！"
"traveler:ARSKICKER1","Do not forget to root for us!","别忘了给我们加油！"
"traveler:ARSKICKER1","Ah good.","啊，好的。"
"traveler:ARSKICKER1","It is more beaten up than I remember.","这锦旗比我记忆中的还要破烂。"
"traveler:ARSKICKER1","Even there is big tear here.","这儿居然还破了。"
"traveler:ARSKICKER1","What did you do?","你到底做了什么？"
"traveler:ARSKICKER1","Oh well. Coach should be happy.","好吧，教练应该会开心的。"
"traveler:ARSKICKER1","Alright that is great yeah.","好吧，非常棒。"
"traveler:ARSKICKER1","But where is banner?","但锦旗在哪儿？"
"traveler:ARSKICKER1","Thanks bud!","多谢了哥们儿！"
"traveler:ARSKICKER1","Do not forget to root for us at regionals.","别忘了在地区比赛中为我们加油。"
"traveler:ARSKICKER1","Ok. Well.","好吧。"
"traveler:ARSKICKER1","That is messed up.","这可是一团糟。"
"traveler:ARSKICKER1","At least you give banner back right?","至少你会把锦旗还给我的吧？"
"traveler:ARSKICKER1","At least you give banner back.","至少你把锦旗还给我了。"
"traveler:ARSKICKER1","@The banner is mine now.","@那锦旗现在归我了。"
"traveler:ARSKICKER1","Oh boy.","天呐。"
"traveler:ARSKICKER1","Such an asshole here.","你简直就是个十足的混蛋。"
"traveler:ARSKICKER1","If guards do not kill me, coach will.","如果我不被卫兵杀死，教练也会杀了我的。"
"traveler:BUSTED_SPY","I have not much time.","我时间不多。"
"traveler:BUSTED_SPY","You must hold on to these.","你必须好好保管这些。"
"traveler:BUSTED_SPY","Keep them safe today.","今天要确保安全妥善地保管好。"
"traveler:BUSTED_SPY","I am being followed by an imposter.","我被一个冒牌货跟踪了。"
"traveler:BUSTED_SPY","They pretend to be from the Ministry of Information but it is a lie.","他们会假装是情报局的人，但这些都是谎话。"
"traveler:BUSTED_SPY","If they ask for documents, give these instead.","如果他们来要文件，给他们这份。"
"traveler:BUSTED_SPY","Do not mix them up.","别把两份搞混了。"
"traveler:BUSTED_SPY_FOLLOWER","@Your papers?","@你的入境文件呢？"
"traveler:BUSTED_SPY_FOLLOWER","I am from the Ministry of Information.","我来自情报局。"
"traveler:BUSTED_SPY_FOLLOWER","You have something to give us.","你应该有东西要给我们。"
"traveler:BUSTED_SPY_FOLLOWER","Perfect.","非常好。"
"traveler:GYM_INSTRUCTOR","You are skin and bones.","你简直瘦得只剩皮包骨头了。"
"traveler:GYM_INSTRUCTOR","Bet you have no real strength.","我敢打赌你手无缚鸡之力。"
"traveler:GYM_INSTRUCTOR","Come to gym, I make you big.","到健身馆来，我会让你变得强壮起来。"
"traveler:GYM_INSTRUCTOR","I guarantee you get big at Get Big Town.","到强壮来，我保证让你变得强壮。"
"traveler:GYM_INSTRUCTOR","Is what we do.","我们就是干这行的。"
"traveler:GYM_INSTRUCTOR","Denied? Hah.","拒绝入境？哈。"
"traveler:GYM_INSTRUCTOR","This is what I expect from skinny weakling.","我就知道你这个弱鸡会干这事儿。"
"traveler:OLD_INSPECTOR","I used to be an inspector like you.","我也曾像你一样当过监察员。"
"traveler:OLD_INSPECTOR","Many years ago. Back in United Fed.~","那是很多年前的事了，当时我还在共和联邦。~"
"traveler:OLD_INSPECTOR","We denied most people.~","我们拒签了大多数人。~"
"traveler:OLD_INSPECTOR","It is all done by computers now.","不过现在都是电脑在做这些事了。"
"traveler:OLD_INSPECTOR","They can deny much faster that way.","这样的话能更快地拒签。"
"traveler:OLD_INSPECTOR","Good luck.","祝你好运。"
"traveler:OLD_INSPECTOR","I do not miss it.","我一点都不怀念当年。"
"traveler:OLD_INSPECTOR","What? Why am I denied?~","什么？为什么我被拒签了？~"
"traveler:OLD_INSPECTOR","So this is what it feels like.~","原来这就是被拒签的感觉。~"
"traveler:OLD_INSPECTOR","@Where is entry permit?","@你的入境许可证呢？"
"traveler:OLD_INSPECTOR","Eh, it does not matter what I say.","呃，我说什么都没用了。"
"traveler:OLD_INSPECTOR","Just deny the visa and I will go.","快点盖了拒签章我就走了。"
"traveler:RED_STAMP","Red stamp.","拒签章。"
"traveler:RED_STAMP","@What?","@什么？"
"traveler:RED_STAMP","Give me red stamp.","给我盖个拒签章。"
"traveler:RED_STAMP","I am serious.","我是认真的。"
"traveler:RED_STAMP","I have better job offer in Impor.","我在印波找了份更好的工作。"
"traveler:RED_STAMP","Red stamp and I can break contract in Arstotzka.","只要盖了拒签章我就能和阿斯托茨卡的雇主说拜拜了。"
"traveler:RED_STAMP","10 credits for you.","我愿意出10分。"
"traveler:RED_STAMP","Damn it.","我靠。"
"traveler:RED_STAMP","I am sure you deny people all day.","我敢说你每天都在拒签别人。"
"traveler:RED_STAMP","Why not now?","为啥现在不拒签了？"
"traveler:RED_STAMP","I figure something else out.","我另外想办法吧。"
"traveler:RED_STAMP","Ok, now I get free from this bad job.","好了，这下我就能逃离这个烂工作了。"
"traveler:RED_STAMP","Thanks.","多谢啦。"
"traveler:NEED_SURGERY","I come for medical reasons.","我因为医疗原因需要入境。"
"traveler:NEED_SURGERY","@Your papers are missing.","@你缺少所需的文件。"
"traveler:NEED_SURGERY","Please.","求你了。"
"traveler:NEED_SURGERY","Surgery I need is outlawed in Kolechia.","我需要做的外科手术在科勒齐亚被视为非法的。"
"traveler:NEED_SURGERY","Even so, I do not trust doctors there.","而且我也信不过那边的医生。"
"traveler:NEED_SURGERY","Only Arstotzka have skilled surgeons.","只有阿斯托茨卡才有技艺高超的外科医生。"
"traveler:NEED_SURGERY","@You do not have the right documents.","@你没有入境所需的文件。"
"traveler:NEED_SURGERY","Yes.","是的。"
"traveler:NEED_SURGERY","They will not give papers for surgery.","他们不给需要做外科手术的人签发文件。"
"traveler:NEED_SURGERY","Thank you. I will not forget this.","谢谢你。我不会忘记你的。"
"traveler:NEED_SURGERY","I expected this.","我也料到会是这样了。"
"traveler:NEED_SURGERY","I do not know how long I survive.","我不知道我还能活多久。"
"traveler:NEED_SURGERY","But you do not care.~","但你也不会在乎。~"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","我祝你以后别落得跟我一样的下场。"
"traveler:LOVE_SONG","I will leave this here.","我会把这个放在这儿。"
"traveler:LOVE_SONG","Great!","棒极了！"
"traveler:LOVE_SONG","You really super guy!~","你真是个大好人！~"
"traveler:LOVE_SONG","Can I have note back now?","现在能把笔记本还给我吗？"
"traveler:LOVE_SONG","I need it for next inspector.","我得留着它给下一个监察官。"
"traveler:LOVE_SONG","But I give you such lovely note!","但我都给你了这么漂亮的笔记本了！"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","非常感谢，正如我说的，你是个大好人。"
"traveler:LOVE_SONG","Do not forget.","别忘记了。"
"traveler:LOVE_SONG","Is too much?","Is too much?"
"traveler:LOVE_SONG","@Yes.","@是的。"
"traveler:LOVE_SONG","Is too much. I can see that now.","Is too much. I can see that now."
"traveler:LOVE_SONG","Next time I make couple copies first.","下次我会先复印几份。"
"traveler:LOVE_SONG_LONELY","Life sucks.","人生真是糟糕透了。"
"traveler:LOVE_SONG_LONELY","Nobody loves me.","没有人喜欢我。"
"traveler:LOVE_SONG_LONELY","For me?","给我的？"
"traveler:LOVE_SONG_LONELY","Like fire?","像火一般火热？"
"traveler:LOVE_SONG_LONELY","Object of desire?","是我想要的？"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","喔，从没有人给我说过这么好听的话！"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","那段关于签证的歌词比较费解，不过其他的部分很给力。"
"traveler:LOVE_SONG_LONELY","Thank you!","谢谢你！"
"traveler:LOVE_SONG_LONELY","Thank you again!","再次感谢你！"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","我想我会谢谢你。"
"traveler:LOVE_SONG_LONELY","No problem!","没问题！"
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","几天真是个好日子！"
"traveler:LOVE_SONG_LONELY","Even you hate me.","连你都嫌弃我。"
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","连你这个我甚至都不认识的人都嫌弃我。"
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.","开放这个边检站是个错误。"
"traveler:FINALLY_RETURN_HOME","Finally I can return home.","终于要回家啦。"
"traveler:FINALLY_RETURN_HOME","You bastard.","你这个混蛋。"
"traveler:FINALLY_RETURN_HOME","Thank you.","谢谢你。"
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.","这个边检站比我想象中要小啊。"
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","我在这条他妈的队伍里排了八个小时了。"
"traveler:WAITED_FOREVER","I hope it was worth it.","我希望结果值得我排这么久。"
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.","我简直不能相信，去死吧。"
"traveler:HURRY_UP","Hurry up.","快点儿。"
"traveler:HURRY_UP","I am meeting bus soon.","我还得赶公交呢。"
"traveler:HURRY_UP","What is this?","这是什么？"
"traveler:HURRY_UP","Finally.","终于搞定了。"
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.","我听说有恐怖分子袭击过这里。"
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.","你还能在这里工作真是幸运。"
"traveler:GLAD_YOU_HAVE_JOB","Be safe.","自己保重。"
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","什么？我不知道。来旅游？"
"traveler:TICKET_NOT_PERMIT","A few days maybe.","也许就几天。"
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.","入境许可证？我可是有入境凭证的啊。"
"traveler:TICKET_NOT_PERMIT","Let me through.","让我过去。"
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@入境凭证以不足以入境了。"
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@去拿到入境许可证吧。"
"traveler:TICKET_NOT_PERMIT","Bullshit!","放屁！"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","为了入境凭证我可是花了大钱的。"
"traveler:VISIT_SON","I am so happy that the border has opened.","我真高兴边境终于开放了。"
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","我来看望我的儿子，我已经六年没见过他了。 [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","六个月 [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","求求你，让我通过吧，我的儿子在等我。"
"traveler:VISIT_SON","Thank you.","谢谢你。"
"traveler:VISIT_SON","Curse you.","该死。"
"traveler:DETAIN_FIRST","Hey wait.","嘿，等等。"
"traveler:DETAIN_FIRST","Do not arrest me, please.","求你别逮捕我。"
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","拒签了我的签证我就会离开。"
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","这不是我自己要来的，我很这个可恶的国家。"
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","我只是过境而已。 [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","越短越好。两天。 [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","呃。"
"traveler:HATE_COUNTRY","Just as well.","也好。"
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","别紧张我的朋友。"
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","我这儿只有点儿人畜无害的药。"
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","我给你10分来买你的放行。"
"traveler:SEARCH_BRIBE_INTRO","Excellent.","非常好。"
"traveler:SEARCH_BRIBE_INTRO","As I promised.","这是答应给你的。"
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","这么好赚的钱你会拒绝吗？"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@没被逮捕你已经很幸运了。"
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@别在回来了。"
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@你不能贿赂阿斯托茨卡官员。"
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","他们一定付给你不少薪水你这条听话的走狗。"
"traveler:TWO_PASSPORTS","Shit!","妈的！"
"traveler:TWO_PASSPORTS","I make small mistake.","我弄错了一点东西。"
"traveler:TWO_PASSPORTS","Please give documents back.","请把文件还给我。"
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@你怎么有两张护照？"
"traveler:TWO_PASSPORTS","Is funny story.","这是个有趣的故事。"
"traveler:TWO_PASSPORTS","I tell you everything.","我会告诉你所有的事情。"
"traveler:TWO_PASSPORTS","First, you give papers back to me.","但首先，你得把文件都还给我。"
"traveler:TWO_PASSPORTS","And the others?","还有那些呢？"
"traveler:TWO_PASSPORTS","Last one please.","最后一个，谢谢。"
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","这需要身份补充文件的规定简直就太麻烦了。"
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","又不容易拿到而且只有几天有效。"
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","你们阿斯托茨卡只会让事情越来越麻烦。"
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","干嘛还要开放边境？"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","切。"
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","早知道就把钱花在贿赂上了。"
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","又轻松又快。"
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","我就知道不行。"
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@在这里见到你很有意思。"
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@我刚开始搜查入境的罪犯。"
"traveler:CRIMINAL_FIRST","Criminals?","罪犯？"
"traveler:CRIMINAL_FIRST","What are you saying?","你胡说什么？"
"traveler:DENIAL_REASON_FIRST","Denied?","拒签？"
"traveler:DENIAL_REASON_FIRST","For what reason?","为什么拒签？"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@已经在拒签章上都写清楚了。"
"traveler:DENIAL_REASON_FIRST","Oh.~","哦。~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","去你妈的。"
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@印波人禁止入境。"
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@印波人禁止入境。"
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@不要把病毒带到阿斯托茨卡来了。"
"traveler:NO_UNITEDFED_FIRST","What?","什么？"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","我百分之百健康。"
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","拒签实在太轻松了。"
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","所有这些文件都没用了。"
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@不要把病毒带到阿斯托茨卡来了。"
"traveler:NO_UNITEDFED","What?","什么？"
"traveler:NO_UNITEDFED","I am perfectly healthy.","我百分之百健康。"
"traveler:NO_UNITEDFED","It is so easy to deny entry.","拒签实在太轻松了。"
"traveler:NO_UNITEDFED","All this paperwork is wasted.","所有这些文件都没用了。"
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","谢谢你。回家的感觉真好。"
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","我很快又要出去旅行了，所以请把我的护照还给我。"
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@护照被没收了。"
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","什么意思？"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@联系通知单上的号码来取回。"
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","你可以直接还给我啊。"
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@护照已经存档了，我没办法还给你。"
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","拿不到护照我就不走了。"
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","我的护照呢？"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","你拒绝我入境还没收护照？"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","我接下来该怎么办？"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@联系通知单上的号码。"
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","你不能这样对我！"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","我是阿斯托茨卡公民。"
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","我自由旅行的权利。"
"traveler:WHISTLEBLOWER","Thank you.","谢谢你。"
"traveler:WHISTLEBLOWER","I hope that things are better here.","我希望这里情况会好一些。"
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","什么？他们答应让我在这里政治避难的。"
"traveler:WHISTLEBLOWER","I have nowhere else to go.","除了这里我无处可去了。"
"traveler:WHISTLEBLOWER","@This is not my problem.","@这不是我的问题。"
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","你们阿斯托茨卡人一直在改入境规定啊。"
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","我姐姐上周入境时候用的是不一样的文件。"
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","现在我又得要新的进境许可证。"
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","比以前贵了一倍。"
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","进境许可证是个他妈的是什么玩意儿？"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","你是说入境许可证吗？"
"traveler:ACCESSPERMIT_WRONG","I have it there.","这个我有，就在这儿。"
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@我是说进境许可证."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","从没听说过这个。太傻逼了。"
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@已经不再接受入境许可证和补充文件了。"
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@进境许可证取代了这两份文件。"
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@让我的工作能轻松点儿。"
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","我才不管你的工作怎么样。"
"traveler:ACCESSPERMIT_WRONG","Damnit.","妈的。"
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","我听说这是个很严格的边检站。"
"traveler:STRICT_BORDER","I am glad my papers are in order.","我很高兴我的文件都很齐全。"
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","我听说边境又要关闭了。"
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","我的进境许可证没法及时办出来。"
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","请发发善心吧。"
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","是的，我知道，我刚刚告诉你了。"
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","我担心边境在我入境前就会被关闭。"
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","这墙上的奖状是干吗的？"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","你因为态度好被表彰？"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","还差得远呢。"
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","墙上挂的这个是什么？"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","因为表现合格被表彰？"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","了不起。干吗费力弄这些奖状。"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","你因为优秀被表彰？"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","希望他们提拔你而不是仅仅给你奖状。"
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","弄个好点儿的奖状。"
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","这个看起来像块廉价的废铁。"
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Figures."
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","你就跟这个奖状一样。"
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","廉价的废铁。"
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","这他妈是什么？"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","锦旗不错啊！"
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","我记得那场比赛。"
"traveler:WALLCOMMENT_ARSKICKER","Intense.","很激烈。"
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","加油Arskickers!"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","这他妈是什么？"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","我以为我们都喜欢Arskickers呢。"
"traveler:WALLCOMMENT_SONDRAWING","What is this drawing on the wall?","墙上的画是什么玩意儿？"
"traveler:WALLCOMMENT_SONDRAWING","My dog can do better.","我的狗都能画得比这好。"
"traveler:WALLCOMMENT_SONDRAWING","@It is from my son.","@那是我儿子画的。"
"traveler:WALLCOMMENT_SONDRAWING","Oh.~","哦。~"
"traveler:WALLCOMMENT_SONDRAWING","Maybe he should try sports.","也许他应该改行去运动。"
"traveler:WALLCOMMENT_SONDRAWING","Thanks.","谢谢。"
"traveler:WALLCOMMENT_SONDRAWING","The drawing is not so bad really.","其实画得也没那么烂。"
"traveler:WALLCOMMENT_SONDRAWING","I was just in rough mood. Sorry.","我刚才心情不太好，对不起。"
"traveler:WALLCOMMENT_SONDRAWING","Huh?","啊？"
"traveler:WALLCOMMENT_SONDRAWING","You deny me for comment about drawing, right?","你拒签我是因为我刚才说的那些话是吗？"
"traveler:WALLCOMMENT_SONDRAWING","@The exit is to your right.","@出口在右边。"
"traveler:WALLCOMMENT_SONDRAWING","What are you doing?","你干嘛？"
"traveler:WALLCOMMENT_SONDRAWING","Is this because I make fun of drawing?","是因为我嘲笑那幅画了吗？"
"traveler:WALLCOMMENT_SONDRAWING","I take it back!","我收回我说过的话！"
"traveler:WALLCOMMENT_SONDRAWING","Picture should be in museum!","那幅画简直是应该挂在博物馆的艺术品。"
"traveler:WALLCOMMENT_FAMILYPHOTO","I like picture on wall here.","我喜欢墙上那张照片。"
"traveler:WALLCOMMENT_FAMILYPHOTO","Reminds me of how my family was.","它让我想起我的家人。"
"traveler:WALLCOMMENT_FAMILYPHOTO","Thank you.","谢谢你。"
"traveler:WALLCOMMENT_FAMILYPHOTO","Take care of your family.","好好照顾你的家人。"
"traveler:WALLCOMMENT_FAMILYPHOTO","It is too easy to lose them.","要失去他们太容易了。"
"speech:ask-purpose","What is the purpose of your trip?","What is the purpose of your trip?"
"speech:state-purpose","Visiting.","Visiting."
"speech:state-purpose","Just visiting.","Just visiting."
"speech:state-purpose","I am visiting relatives.","I am visiting relatives."
"speech:state-purpose","Visiting friends.","Visiting friends."
"speech:state-purpose","I come for visit.","I come for visit."
"speech:state-purpose","Only to visit.","Only to visit."
"speech:state-purpose","I will visit friends.","I will visit friends."
"speech:state-purpose","Transit.","Transit."
"speech:state-purpose","I pass through.","I pass through."
"speech:state-purpose","Transit through the country.","Transit through the country."
"speech:state-purpose","I am transiting to elsewhere.","I am transiting to elsewhere."
"speech:state-purpose","Transit through Arstotzka.","Transit through Arstotzka."
"speech:state-purpose","Passing through.","Passing through."
"speech:state-purpose","I am in transit.","I am in transit."
"speech:state-purpose","Work.","Work."
"speech:state-purpose","I come to work.","I come to work."
"speech:state-purpose","I have job here.","I have job here."
"speech:state-purpose","I plan to work.","I plan to work."
"speech:state-purpose","Immigrating.","Immigrating."
"speech:state-purpose","I am immigrating to Arstotzka.","I am immigrating to Arstotzka."
"speech:state-purpose","I will move here.","I will move here."
"speech:state-purpose","I am coming to live with my husband.","I am coming to live with my husband."
"speech:state-purpose","I am coming to live with my wife.","I am coming to live with my wife."
"speech:state-purpose","I am diplomatic envoy.","I am diplomatic envoy."
"speech:state-purpose","I was called to diplomatic discussions.","I was called to diplomatic discussions."
"speech:state-purpose","My presence was requested.","My presence was requested."
"speech:state-purpose","I am seeking asylum.","I am seeking asylum."
"speech:state-purpose","I come for political asylum.","I come for political asylum."
"speech:state-purpose","Asylum.","Asylum."
"speech:ask-wrong-purpose","This entry permit is for work.","This 入境许可证 is for work."
"speech:ask-wrong-purpose","You are authorized for transit only.","You are authorized for transit only."
"speech:ask-wrong-purpose","You have only a visitors entry permit.","You have only a visitors 入境许可证."
"speech:ask-wrong-purpose","This entry permit is for immigrating.","This 入境许可证 is for immigrating."
"speech:ask-wrong-purpose","Your entry purpose does not match up.","Your entry purpose does not match up."
"speech:ask-wrong-purpose","This entry permit purpose does not match.","This 入境许可证 purpose does not match."
"speech:mistake-prefix","Right.","Right."
"speech:mistake-prefix","I make mistake.","I make mistake."
"speech:mistake-prefix","Yes, of course.","Yes, of course."
"speech:mistake-prefix","Apologies.","Apologies."
"speech:wrong-purpose","$mistake-prefix I am just visiting.","$mistake-prefix I am just visiting."
"speech:wrong-purpose","$mistake-prefix I just pass through.","$mistake-prefix I just pass through."
"speech:wrong-purpose","$mistake-prefix I have come to work.","$mistake-prefix I have come to work."
"speech:wrong-purpose","$mistake-prefix I move here permanently.","$mistake-prefix I move here permanently."
"speech:ask-duration","Duration of stay?","Duration of stay?"
"speech:random-stay","I stay","I stay"
"speech:random-stay","I remain for","I remain for"
"speech:random-stay","It will be","It will be"
"speech:state-duration","$random-stay forever.","$random-stay forever."
